school_year,dpi_true_id,school_name,accurate_agency_type,school_enrollment,grade_band,overall_rating,overall_score,ly_ach,sch_ach,sch_growth,sch_tgo,sch_ot,prof_count_ELA,prof_count_Mathematics,prof_percent_ELA,prof_percent_Mathematics
2023-24,0000_1345,Greater Holy Temple Christian Academy,Private,428,K-8,Meets Expectations,62.2,FALSE,11.9,56.5,64.4,80.2,25,6,0.11210762331838565,0.026905829596412557
2023-24,3619_0075,Alcott Elementary,Traditional Public,268,K-8,Meets Expectations,62.2,TRUE,32.3,69.8,47.7,68.8,50,24,0.3067484662576687,0.147239263803681
2023-24,8017_8139,Pathways High,2r/2x Charter,171,9-12,Meets Expectations,62.2,TRUE,33.8,74.6,58,45.7,34,18,0.3238095238095238,0.17142857142857143
2023-24,3619_0188,Barbee Elementary,Traditional Public,305,K-5,Meets Expectations,61.8,FALSE,15.9,71.7,52.8,62.3,24,5,0.2891566265060241,0.060240963855421686
2023-24,3619_0193,Grant Elementary,Traditional Public,582,K-8,Meets Expectations,60.6,FALSE,24.3,68.9,50.4,63,83,55,0.2299168975069252,0.1523545706371191
2023-24,3619_0113,Clement Avenue Elementary,Traditional Public,259,K-8,Meets Expectations,60.2,FALSE,37.5,66,45.9,68.6,53,60,0.31736526946107785,0.3592814371257485
2023-24,3619_0250,Lincoln Avenue Elementary,Traditional Public,416,K-5,Meets Expectations,60.2,FALSE,20.9,71.7,44.1,63.6,17,23,0.12408759124087591,0.1678832116788321
2023-24,0000_8224,Saint Joseph Academy,Private,427,K-8,Meets Expectations,60.2,FALSE,24,60.3,57.8,69.7,50,29,0.20920502092050208,0.12133891213389121
2023-24,8001_8115,Tenor High,2r/2x Charter,627,9-12,Meets Expectations,59.9,FALSE,29.9,57.5,59.4,74.1,77,84,0.17824074074074073,0.19444444444444445
2023-24,3619_0033,Harold S Vincent School of Agricultural Science,Traditional Public,708,9-12,Meets Expectations,59.7,FALSE,15.4,71.7,59.6,42.7,33,16,0.07568807339449542,0.03669724770642202
2023-24,0000_4950,Saint Josaphat Parish School,Private,204,K-8,Meets Expectations,59.7,FALSE,40.4,61.3,50.5,70,43,34,0.296551724137931,0.23448275862068965
2023-24,0000_1489,Cross Trainers Academy,Private,444,K-12,Meets Expectations,59.3,FALSE,18.1,69.8,51.3,56.6,34,21,0.12056737588652482,0.07446808510638298
2023-24,3619_1121,La Causa Charter School,Non-Instrumentality Charter,570,K-8,Meets Expectations,59.3,TRUE,18.8,66,53.6,61.1,59,47,0.15364583333333334,0.12239583333333333
2023-24,0000_1796,Victory Christian Academy,Private,313,K-12,Meets Expectations,59.2,FALSE,34.3,57.5,NA,71.4,64,44,0.2807017543859649,0.19298245614035087
2023-24,3619_0122,Curtin Elementary,Traditional Public,283,K-8,Meets Expectations,59.1,TRUE,28.5,65.1,47.2,66.2,42,16,0.24561403508771928,0.0935672514619883
2023-24,3619_0289,Ninety-Fifth Street Elementary,Traditional Public,424,K-5,Meets Expectations,59.1,FALSE,35.6,59.4,53,69.4,43,46,0.25,0.26744186046511625
2023-24,3619_0237,Kilbourn Elementary,Traditional Public,258,K-5,Meets Expectations,58.8,FALSE,25.9,63.2,NA,56.8,10,9,0.14925373134328357,0.13432835820895522
2023-24,0000_1704,Shining Star Christian Schools Inc,Private,208,K-8,Meets Expectations,58.6,FALSE,15.2,68.9,50.2,57.1,39,29,0.07910750507099391,0.058823529411764705
2023-24,0000_1165,Granville Lutheran School,Private,215,K-8,Meets Expectations,58.4,FALSE,27.7,61.3,51.9,65.8,28,18,0.224,0.144
2023-24,3619_0094,Bryant Elementary,Traditional Public,197,K-5,Meets Few Expectations,57.9,FALSE,18,66.9,51.4,56.1,9,11,0.13636363636363635,0.16666666666666666
